UniqueCount	AmbigCount
0	591
0	461
0	92
3	0
30	180
14	0
0	2
0	2
8	0
22	0
22	0
1	0
150	0
86	0
53	0
0	0
126	0
28	0
217	0
174	190
178	0
74	0
216	0
96	0
40	0
139	0
12	0
47	0
104	0
135	0
0	6
0	0
87	0
94	0
39	0
8	0
49	0
176	0
0	0
233	0
13	0
10	0
10	0
60	0
25	0
10	0
0	2
0	0
0	0
0	0
0	0
6	0
86	0
8	0
5	0
73	0
101	0
80	0
15	448
37	448
87	0
9	586
14	586
44	0
40	0
56	0
13	0
118	0
0	1
95	0
732	0
17	0
892	0
308	0
15	261
45	261
15	0
0	84
1	84
30	0
1	0
0	10
0	1
5	0
1	67
1	67
74	0
706	0
268	0
256	0
0	0
20	577
0	577
2	0
1	0
0	0
50	0
89	0
49	0
101	0
476	0
338	0
71	0
98	0
48	0
83	0
17	0
17	0
19	0
29	0
1033	0
6	0
56	0
4	149
0	149
15	0
0	21
2	21
87	0
93	33
42	33
86	0
37	0
62	0
52	0
603	0
287	0
8	0
625	0
49	0
450	705
0	578
0	704
0	638
0	35
62	35
72	0
50	0
26	0
12	0
23	0
5	0
51	0
220	0
26	0
18	10
20	0
202	0
68	0
33	0
275	0
0	6
0	0
66	0
33	0
148	0
91	0
36	0
4	57
1	57
1	58
0	58
57	0
66	0
1	1
0	1
68	0
14	0
185	0
46	0
24	0
22	0
152	0
0	0
43	0
33	0
52	0
29	0
71	0
77	33
2	0
81	5
32	1
1	41
2	41
97	0
445	0
35	0
0	30
0	30
82	0
83	0
179	0
8	0
102	0
69	0
129	0
19	0
38	0
93	0
286	0
265	0
18	0
53	0
15	0
85	0
11	0
64	0
24	0
58	0
72	0
0	65
3	65
12	0
0	6
0	0
1	0
2	0
17	0
12	0
6	0
4	0
66	0
196	0
31	0
46	0
20	0
44	0
2	0
42	0
208	0
1	7
0	7
2	0
21	0
787	0
9	596
3	617
44	0
141	0
25	0
4	0
0	9
0	4
40	0
42	0
7	0
47	0
25	0
50	0
20	0
4	0
18	0
80	0
1	0
16	0
8	0
30	0
26	0
15	0
75	0
363	0
132	0
46	0
283	0
31	0
14	0
27	0
23	0
36	0
47	0
17	0
6	0
250	1578
64	0
9	0
41	0
13	0
63	0
982	0
27	0
0	0
63	0
24	0
531	0
0	0
0	0
1	0
90	0
25	0
49	0
4	0
190	0
30	0
18	0
235	0
46	0
67	0
24	0
29	0
73	0
149	0
