RetainedRef	DuplicateRef
gene=PRM6	unassigned_transcript_4547
gene=LSM3	unassigned_transcript_4427
gene=SNU66	unassigned_transcript_5885
gene=SNZ3	unassigned_transcript_1863
gene=OMS1	unassigned_transcript_1303
gene=DLD3	unassigned_transcript_1541
gene=RUF20	unassigned_transcript_1920
gene=SPR2	unassigned_transcript_5789
gene=GSH1	unassigned_transcript_3262
gene=CLD1	unassigned_transcript_2397
gene=SUF4	unassigned_transcript_2432
gene=YBR096W	unassigned_transcript_331
gene=SFB3	unassigned_transcript_2767
gene=GIT1	unassigned_transcript_716
gene=PXP1	unassigned_transcript_1600
gene=NUC1	unassigned_transcript_3154
gene=EST3	unassigned_transcript_3082
gene=EUC1	unassigned_transcript_4732
unassigned_transcript_86	unassigned_transcript_593
unassigned_transcript_86	unassigned_transcript_2108
unassigned_transcript_86	unassigned_transcript_2229
unassigned_transcript_86	unassigned_transcript_4741
unassigned_transcript_86	unassigned_transcript_5202
gene=RAD30	unassigned_transcript_1415
gene=BET2	unassigned_transcript_6452
gene=RRN6	unassigned_transcript_204
gene=GPP2	unassigned_transcript_1699
gene=SLM2	unassigned_transcript_5254
gene=RCY1	unassigned_transcript_3158
gene=SNR3	unassigned_transcript_3504
gene=FAT3	unassigned_transcript_3576
gene=MDM35	unassigned_transcript_3712
gene=NGK1	unassigned_transcript_4434
gene=MNC1	unassigned_transcript_286
gene=BMT2	unassigned_transcript_372
gene=FIS1	unassigned_transcript_3023
gene=PWP2	unassigned_transcript_677
gene=RXT3	unassigned_transcript_892
gene=FTH1	unassigned_transcript_440
gene=LSC2	unassigned_transcript_2547
gene=RPC25	unassigned_transcript_3617
gene=FAR10	unassigned_transcript_4214
gene=CHS6	unassigned_transcript_3264
gene=AXL1	unassigned_transcript_6387
gene=SLT2	unassigned_transcript_2690
gene=RIB1	unassigned_transcript_182
gene=ALG7	unassigned_transcript_479
gene=YDL177C	unassigned_transcript_795
gene=PDE1	unassigned_transcript_2018
gene=RBG1	unassigned_transcript_34
gene=MPH2	unassigned_transcript_727
gene=ARD1	unassigned_transcript_2668
gene=SUT468	unassigned_transcript_997
gene=CST9	unassigned_transcript_4380
gene=BCH2	unassigned_transcript_3796
gene=CBP1	unassigned_transcript_3153
gene=TIS11	unassigned_transcript_4080
gene=XPT1	unassigned_transcript_3509
gene=TIM13	unassigned_transcript_2482
gene=SPR3	unassigned_transcript_2340
gene=YMR206W	unassigned_transcript_4838
gene=PLS1	unassigned_transcript_5200
gene=KTI11	unassigned_transcript_145
gene=SUP45	unassigned_transcript_374
gene=KRE5	unassigned_transcript_5909
gene=APS2	unassigned_transcript_3432
gene=MZM1	unassigned_transcript_1484
gene=BCH1	unassigned_transcript_4870
gene=XYL2	unassigned_transcript_4014
gene=SUF10	unassigned_transcript_5308
gene=MDL2	unassigned_transcript_5985
gene=HXT8	unassigned_transcript_3149
gene=RFC1	unassigned_transcript_5792
gene=GYP1	unassigned_transcript_5641
gene=KRE29	unassigned_transcript_1667
gene=UGO1	unassigned_transcript_1462
gene=YPR1	unassigned_transcript_1364
gene=ALB1	unassigned_transcript_3238
gene=PHO11	unassigned_transcript_101
gene=YNL034W	unassigned_transcript_5272
gene=YGR237C	unassigned_transcript_2540
gene=PAH1	unassigned_transcript_4791
gene=TEF1	unassigned_transcript_6342
gene=ORC6	unassigned_transcript_2787
gene=VTH1	unassigned_transcript_2910
gene=TAH1	unassigned_transcript_679
gene=DAS2	unassigned_transcript_983
gene=CDC11	unassigned_transcript_3449
gene=YGR050C	unassigned_transcript_2332
gene=YPL229W	unassigned_transcript_6031
gene=SPO20	unassigned_transcript_4625
gene=ASP3-1	unassigned_transcript_4122
gene=ASP3-1	gene=ASP3-2
gene=ASP3-1	unassigned_transcript_4126
gene=ASP3-1	gene=ASP3-3
gene=ASP3-1	unassigned_transcript_4134
gene=ASP3-1	gene=ASP3-4
gene=ASP3-1	unassigned_transcript_4138
gene=HPF1	unassigned_transcript_5403
gene=CRF1	unassigned_transcript_1205
gene=MNN1	unassigned_transcript_1624
gene=YIL092W	unassigned_transcript_2995
gene=SAM2	unassigned_transcript_1493
gene=TIF3	unassigned_transcript_6438
gene=ATP3	unassigned_transcript_266
gene=TAX4	unassigned_transcript_3279
gene=IMP2	unassigned_transcript_4645
gene=ENO1	unassigned_transcript_2557
gene=RPL8B	unassigned_transcript_3898
gene=IMP4	unassigned_transcript_5223
gene=DAK1	unassigned_transcript_4520
gene=YLR162W	unassigned_transcript_4141
gene=PCL2	unassigned_transcript_843
gene=SSF1	unassigned_transcript_2732
gene=MRI1	unassigned_transcript_6381
gene=ARO1	unassigned_transcript_1105
gene=ZRT2	unassigned_transcript_4074
gene=SSN2	unassigned_transcript_1436
gene=LAS17	unassigned_transcript_5753
gene=THS1	unassigned_transcript_3010
gene=TCB1	unassigned_transcript_5658
gene=CWP1	unassigned_transcript_3666
gene=BUR2	unassigned_transcript_4200
gene=RIX7	unassigned_transcript_3907
gene=MAN2	unassigned_transcript_5383
gene=ILV6	unassigned_transcript_601
gene=GCN2	unassigned_transcript_1270
gene=GAT2	unassigned_transcript_4760
gene=YDR274C	unassigned_transcript_1261
gene=SUL1	unassigned_transcript_530
gene=SWC4	unassigned_transcript_2272
gene=GRX7	unassigned_transcript_238
gene=MNL2	unassigned_transcript_4002
gene=PTC6	unassigned_transcript_696
gene=AIM19	unassigned_transcript_3001
gene=YOR097C	unassigned_transcript_5669
gene=LAM5	unassigned_transcript_1878
gene=NCP1	unassigned_transcript_2703
gene=NRK1	unassigned_transcript_5172
gene=MRPL11	unassigned_transcript_772
gene=YCR050C	unassigned_transcript_672
gene=CHL4	unassigned_transcript_1235
gene=MRD1	unassigned_transcript_6375
gene=STB1	unassigned_transcript_4993
gene=ICP55	unassigned_transcript_1718
gene=MDH3	unassigned_transcript_890
gene=UBP7	unassigned_transcript_2927
gene=HAP4	unassigned_transcript_3649
gene=DAP1	unassigned_transcript_6090
gene=NPL3	unassigned_transcript_1427
gene=GRS2	unassigned_transcript_6343
gene=IKS1	unassigned_transcript_3306
gene=RFU1	unassigned_transcript_4017
gene=YET3	unassigned_transcript_897
gene=YIL165C	unassigned_transcript_2917
gene=TUB4	unassigned_transcript_4187
gene=ASK1	unassigned_transcript_3713
gene=PMR1	unassigned_transcript_2100
gene=YPT7	unassigned_transcript_4598
gene=OXP1	unassigned_transcript_3547
gene=ANS1	unassigned_transcript_2796
gene=VTC4	unassigned_transcript_3355
gene=RSF1	unassigned_transcript_4639
gene=YGR130C	unassigned_transcript_2419
gene=NOP4	unassigned_transcript_6220
gene=MRPS35	unassigned_transcript_2463
gene=BNA6	unassigned_transcript_1990
gene=YMR141C	unassigned_transcript_4765
gene=HIS3	unassigned_transcript_5778
gene=YAR009C	unassigned_transcript_77
gene=UBX7	unassigned_transcript_510
gene=YNCK0014W	unassigned_transcript_3734
gene=YOR238W	unassigned_transcript_5813
gene=ARP10	unassigned_transcript_1083
gene=GAS3	unassigned_transcript_4847
gene=POP6	unassigned_transcript_2306
gene=PEP7	unassigned_transcript_1316
gene=RPL15A	unassigned_transcript_3973
gene=BMS1	unassigned_transcript_6043
gene=HOM2	unassigned_transcript_1132
gene=VPS9	unassigned_transcript_4493
gene=ASG1	unassigned_transcript_2954
gene=TEN1	unassigned_transcript_3952
gene=ARL3	unassigned_transcript_6213
gene=GAL83	unassigned_transcript_1656
gene=BMH1	unassigned_transcript_1837
gene=DUG3	unassigned_transcript_5109
gene=PRE8	unassigned_transcript_4498
gene=EDC1	unassigned_transcript_2045
gene=MEI5	unassigned_transcript_6139
gene=MGR2	unassigned_transcript_6162
gene=BIO4	unassigned_transcript_5367
gene=YBR200W-A	unassigned_transcript_433
gene=PGA2	unassigned_transcript_5148
gene=GEX1	unassigned_transcript_542
gene=YVC1	unassigned_transcript_5660
gene=RTT10	unassigned_transcript_6077
gene=CDC26	unassigned_transcript_1979
gene=CDC5	unassigned_transcript_4599
gene=SLC1	unassigned_transcript_915
gene=HSL7	unassigned_transcript_365
gene=SLD7	unassigned_transcript_5631
gene=CTA1	unassigned_transcript_1237
gene=YMR315W	unassigned_transcript_4955
gene=URA1	unassigned_transcript_3546
gene=SPR6	unassigned_transcript_1758
